TWT3,RHOB3,PWAVE3
-1257.76,2.109499931,101.2369003
-1258.69,1.932100058,117.0298004
-1259.55,2.070300102,104.7275009
-1260.54,2.06949997,104.7996979
-1261.51,2.084399939,103.4667969
-1262.47,2.277199984,86.30509949
-1263.43,2.085700035,103.3525009
-1264.39,2.031199932,108.2026978
-1265.34,2.252199888,88.53220367
-1266.26,2.0618999,105.476799
-1266.68,2.040600061,107.3671036
-1267.09,2.071799994,104.5942993
-1267.59,2.043900013,107.0718002
-1268.02,2.020100117,109.1925964
-1268.45,2.120800018,100.2303009
-1268.87,1.939299941,116.3841019
-1269.18,1.92719996,117.4617004
-1269.6,2.191999912,93.89050293
-1270.05,2.1329,99.15650177
-1270.37,2.095099926,102.5180969
-1270.81,1.838199973,125.3862
-1271.25,1.901800036,119.723999
-1271.68,1.981099963,112.6651001
-1272.13,1.751999974,133.0626984
-1272.58,1.853899956,123.9865036
-1272.98,1.969400048,113.7090988
-1273.49,1.947499991,115.6548004
-1274,2.014800072,109.6681976
-1274.36,2.012000084,109.9113998
-1274.77,2.073999882,104.3955994
-1275.24,2.03489995,107.8751984
-1275.86,1.957000017,114.8072968
-1276.46,1.879699945,121.6949005
-1277.11,2.284699917,85.63590241
-1277.86,2.353699923,79.49369812
-1278.55,2.405100107,74.92019653
-1279.17,2.298399925,84.41739655
-1279.81,1.7852,130.0993042
-1280.4,1.839699984,125.2520981
-1281,1.810700059,127.8355026
-1281.56,1.986299992,112.2061005
-1282.15,1.991899967,111.7052994
-1282.77,2.066099882,105.0955963
-1283.45,2.257999897,88.01709747
-1283.89,2.111200094,101.0800018
-1284.28,1.894000053,120.4145966
-1284.65,1.920300007,118.0764999
-1285.08,2.232500076,90.28530121
-1285.81,2.272500038,86.7276001
-1286.62,2.244600058,89.21130371
-1287.57,1.888200045,120.9384995
-1288.41,1.614099979,145.3336029
-1289.25,1.976400018,113.0848007
-1290.05,1.828799963,126.2229996
-1290.74,2.145900011,97.99829865
-1291.51,1.863000035,123.1776962
-1292.41,1.851300001,124.2237015
-1293.29,1.965299964,114.0739975
-1294,1.949000001,115.5199966
-1294.67,1.891899943,120.6031036
-1295.37,1.74119997,134.0171051
-1296.27,2.011199951,109.989502
-1297.36,2.010400057,110.0593033
-1298.74,1.983500004,112.4479981
-1300.24,1.9727,113.4108963
-1301.56,1.815999985,127.3620987
-1303.04,1.958400011,114.6869965
-1304.53,1.941599965,116.183403
-1305.95,1.892400026,120.5596008
-1307.39,1.868700028,122.6700974
-1308.33,1.893300057,120.4766998
-1308.97,1.903699994,119.5514984
-1309.46,1.919899941,118.115799
-1309.95,1.785300016,130.0960999
-1310.45,1.938300014,116.4732971
-1310.96,1.9375,116.5501022
-1311.56,1.647300005,142.3764038
-1312.07,1.916300058,118.4371033
-1312.6,1.67110002,140.2635956
-1313.16,1.609400034,145.756897
-1313.73,1.741299987,134.0119934
-1314.28,1.799000025,128.8748932
-1314.83,1.815199971,127.4343033
-1315.37,1.708500028,136.9342041
-1315.99,1.682299972,139.2664948
-1316.52,1.72329998,135.6148987
-1317.05,1.719200015,135.9815064
-1317.74,1.845600009,124.7270966
-1318.29,1.836599946,125.5301971
-1318.97,1.866600037,122.8587036
-1319.7,1.701599956,137.5446014
-1320.84,1.801699996,128.6358948
-1322.03,2.016000032,109.555603
-1323.21,1.920799971,118.0286026
-1324.46,1.944800019,115.9003983
-1325.71,1.873200059,122.2662964
-1326.95,1.838799954,125.3332977
-1328.18,1.563199997,149.8697968
-1329.35,1.636399984,143.3522034
-1330.52,1.693500042,138.2664032
-1331.67,1.845199943,124.759903
-1332.91,1.843400002,124.9237976
-1334.1,1.786299944,130.0041046
-1335.06,1.826400042,126.4364014
-1336.01,1.735700011,134.5092011
-1336.98,1.875699997,122.0470963
-1338.01,1.836400032,125.5485992
-1339.06,1.743000031,133.8636932
-1340.34,1.866799951,122.8422012
-1341.2,2.134200096,99.03980255
-1341.92,2.27519989,86.48829651
-1342.54,2.248399973,88.87329865
-1343.17,2.163100004,96.46360016
-1343.83,2.138099909,98.69210053
-1344.47,2.101799965,101.9199982
-1345.16,2.048599958,106.6536026
-1345.76,1.914700031,118.5752029
-1346.39,2.023200035,108.9162979
-1347.08,2.01760006,109.4143982
-1347.69,1.890699983,120.7104034
-1348.15,2.061800003,105.4817963
-1348.52,1.895099998,120.3239975
-1348.91,1.993499994,111.558197
-1349.35,1.96360004,114.2212982
-1349.81,2.096199989,102.4151993
-1350.28,1.949100018,115.5142975
-1350.79,1.934800029,116.7873001
-1351.37,1.840600014,125.1707001
-1352.32,2.00970006,110.1165009
-1353.39,2.019299984,109.2603989
-1354.54,1.880900025,121.5878983
-1355.59,1.858500004,123.5787964
-1356.73,2.066600084,105.0533981
-1357.82,1.842300057,125.017601
-1358.93,1.889199972,120.8420029
-1359.95,1.926900029,117.4912033
-1361.07,1.90110004,119.7827988
-1362.19,1.74000001,134.123703
-1363.36,1.930899978,117.1302033
-1364.44,2.026599884,108.6126022
-1365.51,2.013600111,109.7693024
-1366.67,1.978800058,112.873497
-1367.83,1.718199968,136.0686951
-1368.88,1.821099997,126.906601
-1370.05,2.031100035,108.2104034
-1371.2,1.856099963,123.7914963
-1372.3,2.017699957,109.4035034
-1372.87,2.038500071,107.555397
-1373.49,1.912400007,118.7825012
-1374,1.941699982,116.1736984
-1374.45,1.957599998,114.7593994
-1374.91,1.9648,114.1168976
-1375.39,1.854200006,123.9580994
-1376.02,2.040199995,107.4001007
-1376.59,2.224400044,91.00340271
-1377.04,1.947100043,115.6914978
-1377.59,1.754299998,132.855896
-1378.05,1.89470005,120.3569031
-1378.5,1.9454,115.8399963
-1379.01,1.96420002,114.1729965
-1379.36,1.915400028,118.517601
-1379.69,1.934399962,116.8199005
-1380.02,1.938699961,116.4350967
-1380.41,1.881000042,121.5782013
-1380.68,1.99940002,111.0326004
-1380.85,2.244999886,89.17220306
-1381.17,2.236099958,89.96980286
-1381.64,2.221999884,91.21910095
-1382.08,2.243099928,89.34149933
-1382.63,2.263600111,87.51619721
-1383.17,2.236999989,89.88459778
-1383.74,2.199399948,93.23419952
-1384.29,2.325900078,81.97380066
-1384.85,2.356400013,79.25260162
-1385.43,2.334199905,81.23090363
-1385.95,2.341500044,80.58599854
-1386.33,2.359400034,78.99079895
-1386.71,2.255199909,88.26560211
-1387.09,2.357800007,79.13639832
-1387.47,2.304800034,83.85140228
-1387.83,2.215500116,91.79740143
-1388.21,2.241100073,89.52290344
-1388.61,2.251699925,88.5746994
-1388.94,2.307300091,83.63159943
-1389.25,2.27489996,86.51190186
-1389.58,2.296700001,84.56890106
-1389.89,2.387000084,76.53450012
-1390.24,2.350699902,79.76869965
-1391.11,2.280299902,86.03109741
-1391.92,2.271399975,86.82499695
-1392.77,2.26970005,86.97350311
-1393.66,2.227600098,90.72350311
-1394.54,2.117899895,100.4854965
-1395.41,2.114099979,100.8242035
-1396.26,2.196700096,93.47460175
-1397.12,2.14380002,98.18260193
-1397.96,2.043499947,107.1102982
-1398.76,2.197499991,93.40080261
-1399.57,2.170799971,95.77549744
-1400.43,2.288500071,85.30169678
-1401.29,2.420300007,73.56500244
-1402.16,2.175699949,95.3463974
-1403.05,2.125799894,99.78769684
-1404,2.130700111,99.34529877
-1404.95,2.150399923,97.5931015
-1405.86,2.014100075,109.7265015
-1406.79,1.975800037,113.1371002
-1407.79,2.042299986,107.2145004
-1408.44,2.043400049,107.1223984
-1408.83,2.006900072,110.3644028
-1409.15,2.078399897,104.0047989
-1409.39,2.028399944,108.4552002
-1409.78,2.028899908,108.4067001
-1410.19,2.022300005,108.9972992
-1410.6,2.068099976,104.9209976
-1411.01,2.228300095,90.65950012
-1411.48,2.053299904,106.2399979
-1411.99,2.080499888,103.8123016
-1412.45,1.939900041,116.3322983
-1412.91,2.053600073,106.211998
-1413.4,2.074199915,104.3768997
-1413.84,2.00909996,110.1729965
-1414.31,2.074500084,104.3503037
-1414.78,2.019099951,109.2815018
-1415.26,2.073600054,104.4283981
-1415.7,2.016900063,109.4781036
-1416.06,2.010099888,110.0819016
-1416.52,1.883399963,121.3606033
-1417.24,2.246700048,89.01860046
-1418.04,2.196500063,93.49420166
-1418.79,2.028100014,108.4840012
-1419.52,2.178200007,95.11699677
-1420.29,2.304699898,83.86209869
-1421.02,2.251399994,88.604599
-1421.8,2.115499973,100.7005005
-1422.8,2.076699972,104.1518021
-1423.83,2.155200005,97.16699982
-1424.91,2.109299898,101.254303
-1426.1,1.967900038,113.8386993
-1427.05,2.049599886,106.5643997
-1428.19,2.09649992,102.3890991
-1429.56,2.226799965,90.79119873
-1430.84,2.307699919,83.59220123
-1432.04,2.283699989,85.72810364
-1433.28,2.266900063,87.22319794
-1434.59,2.279099941,86.14040375
-1435.93,2.291500092,85.0326004
-1437.22,2.253799915,88.39230347
-1438.54,2.213999987,91.93199921
-1439.95,2.192500114,93.84580231
-1441.3,2.15170002,97.47899628
-1442.63,2.193500042,93.7582016
-1444.06,2.059999943,105.6445999
-1445.66,1.963799954,114.2082977
-1447.27,1.997099996,111.2372971
-1448.89,2.020299912,109.1753006
-1450.5,1.907099962,119.2507019
-1452.11,1.886800051,121.0625
-1453.73,1.866999984,122.8247986
-1455.38,2.073999882,104.3908997
-1456.98,2.104300022,101.697197
-1458.49,2.063999891,105.2884979
-1459.85,1.94630003,115.7591019
-1461.32,1.975900054,113.1248016
-1462.73,2.040400028,107.387001
-1463.68,1.929800034,117.2340012
-1464.63,2.127300024,99.65090179
-1465.64,2.288599968,85.29579926
-1466.66,2.239200115,89.68959808
-1467.35,2.160599947,96.68569946
-1467.54,2.18930006,94.1339035
-1467.72,2.102799892,101.8295975
-1467.92,2.141900063,98.35030365
-1468.18,2.174599886,95.43890381
