TWT,DEPTH1,CALI2,RHOB2,GR2,INDUCTION2,NPHI2,PWAVE2,,TWT3,RHOB3,PWAVE3
-196.73,190,,,,,,0,,-1038.65,2.14989996,97.63480377
-197.82,191,,,,,,0,,-1039.58,2.159199953,96.81030273
-198.92,192,,,,,,0,,-1040.54,2.157599926,96.95050049
-200.02,193,,,,,,0,,-1041.51,2.121000052,100.2116013
-201.11,194,,,,,,0,,-1042.46,2.142100096,98.33029938
-202.21,195,,,,,,0,,-1043.39,2.09710002,102.3376999
-203.31,196,,,,,,0,,-1044.31,2.033799887,107.972702
-204.4,197,,,,,,0,,-1045.25,2.056299925,105.9681015
-205.5,198,,,,,,0,,-1046.21,2.130700111,99.34539795
-206.6,199,,,,,,0,,-1047.15,2.077500105,104.0804977
-207.69,200,,,,,,0,,-1048.07,2.20630002,92.61820221
-208.79,201,,,,,,0,,-1048.98,2.15960002,96.77929688
-209.88,202,,,,,,0,,-1049.89,2.161099911,96.64189911
-210.98,203,,,,,,0,,-1050.8,2.129699945,99.43640137
-212.08,204,,,,,,0,,-1051.51,2.041399956,107.2991028
-213.17,205,,,,,,0,,-1051.99,2.069200039,104.8215027
-214.27,206,,,,,,0,,-1052.49,2.166500092,96.16220093
-215.37,207,,,,,,0,,-1053.03,2.200200081,93.15969849
-216.46,208,,,,,,0,,-1053.56,2.17840004,95.10359955
-217.56,209,,,,,,0,,-1054.04,2.114799976,100.7614975
-218.66,210,,,,,,0,,-1054.55,2.111900091,101.0240021
-219.75,211,,,,,,0,,-1054.99,2.152499914,97.40850067
-220.85,212,,,,,,0,,-1055.46,2.190500021,94.02310181
-221.94,213,,,,,,0,,-1055.92,2.3204,82.46430206
-223.04,214,,,,,,0,,-1056.4,2.317399979,82.73229981
-224.14,215,,,,,,0,,-1056.94,2.229599953,90.54519653
-225.23,216,,,,,,0,,-1057.46,2.300899983,84.19909668
-226.33,217,,,,,,0,,-1057.92,2.186199904,94.40570068
-227.43,218,,,,,,0,,-1058.36,2.219599962,91.4315033
-228.52,219,,,,,,0,,-1058.82,2.208800077,92.39350128
-229.62,220,,,,,,0,,-1059.31,2.165600061,96.24549866
-230.72,221,,,,,,0,,-1059.8,2.050199986,106.5130997
-231.81,222,,,,,,0,,-1060.27,2.178600073,95.08599854
-232.91,223,,,,,,0,,-1060.72,2.22480011,90.96980286
-234,224,,,,,,0,,-1061.09,2.330699921,81.54679871
-235.1,225,,,,,,0,,-1061.74,2.389100075,76.34449768
-236.2,226,,,,,,0,,-1062.73,2.30250001,84.0562973
-237.29,227,,,,,,0,,-1063.69,2.401400089,75.2492981
-238.39,228,,,,,,0,,-1064.71,2.355900049,79.29869843
-239.49,229,,,,,,0,,-1065.71,2.391599894,76.12069702
-240.58,230,,,,,,0,,-1066.71,2.351700068,79.6772995
-241.68,231,,,,,,0,,-1067.75,2.40350008,75.06210327
